user_id,agent_name,input_summary,output_status,risk_score,timestamp
REF_0000,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.517498
REF_0000,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.517498
REF_0001,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.517498
REF_0001,CreditBureauAgent,...,FAIL,165,2026-02-06T11:14:03.517498
REF_0002,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.517498
REF_0002,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.517498
REF_0003,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.517498
REF_0003,CreditBureauAgent,...,FAIL,95,2026-02-06T11:14:03.517498
REF_0004,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.517498
REF_0004,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.517498
REF_0005,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.517498
REF_0005,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.517498
REF_0006,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.517498
REF_0006,CreditBureauAgent,...,FAIL,80,2026-02-06T11:14:03.517498
REF_0007,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.517498
REF_0007,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.517498
REF_0008,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.517498
REF_0008,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.517498
REF_0009,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.517498
REF_0009,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0010,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0010,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0011,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0011,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0012,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0012,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0013,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0013,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0014,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0014,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0015,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0015,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0016,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0016,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0017,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0017,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0018,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0018,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0019,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0019,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0020,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0020,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0021,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0021,CreditBureauAgent,...,FAIL,95,2026-02-06T11:14:03.518652
REF_0022,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0022,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0023,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0023,CreditBureauAgent,...,FAIL,80,2026-02-06T11:14:03.518652
REF_0024,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0024,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0025,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0025,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0026,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0026,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0027,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0027,CreditBureauAgent,...,FAIL,80,2026-02-06T11:14:03.518652
REF_0028,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0028,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0029,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0029,CreditBureauAgent,...,FAIL,165,2026-02-06T11:14:03.518652
REF_0030,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0030,CreditBureauAgent,...,FAIL,80,2026-02-06T11:14:03.518652
REF_0031,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0031,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0032,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0032,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0033,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0033,CreditBureauAgent,...,FAIL,80,2026-02-06T11:14:03.518652
REF_0034,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0034,CreditBureauAgent,...,FAIL,80,2026-02-06T11:14:03.518652
REF_0035,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0035,CreditBureauAgent,...,FAIL,95,2026-02-06T11:14:03.518652
REF_0036,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0036,CreditBureauAgent,...,FAIL,95,2026-02-06T11:14:03.518652
REF_0037,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0037,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0038,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0038,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0039,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0039,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0040,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0040,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0041,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0041,CreditBureauAgent,...,FAIL,80,2026-02-06T11:14:03.518652
REF_0042,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0042,CreditBureauAgent,...,FAIL,80,2026-02-06T11:14:03.518652
REF_0043,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0043,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0044,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0044,CreditBureauAgent,...,FAIL,80,2026-02-06T11:14:03.518652
REF_0045,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0045,CreditBureauAgent,...,FAIL,95,2026-02-06T11:14:03.518652
REF_0046,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0046,CreditBureauAgent,...,FAIL,165,2026-02-06T11:14:03.518652
REF_0047,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0047,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0048,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0048,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0049,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0049,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0050,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0050,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0051,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0051,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0052,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.518652
REF_0052,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.518652
REF_0053,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0053,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.519666
REF_0054,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0054,CreditBureauAgent,...,FAIL,80,2026-02-06T11:14:03.519666
REF_0055,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0055,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.519666
REF_0056,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0056,CreditBureauAgent,...,FAIL,170,2026-02-06T11:14:03.519666
REF_0057,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0057,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.519666
REF_0058,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0058,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.519666
REF_0059,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0059,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.519666
REF_0060,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0060,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.519666
REF_0061,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0061,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.519666
REF_0062,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0062,CreditBureauAgent,...,FAIL,80,2026-02-06T11:14:03.519666
REF_0063,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0063,CreditBureauAgent,...,FAIL,80,2026-02-06T11:14:03.519666
REF_0064,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0064,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.519666
REF_0065,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0065,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.519666
REF_0066,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0066,CreditBureauAgent,...,FAIL,165,2026-02-06T11:14:03.519666
REF_0067,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0067,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.519666
REF_0068,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0068,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.519666
REF_0069,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0069,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.519666
REF_0070,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0070,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.519666
REF_0071,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0071,CreditBureauAgent,...,FAIL,80,2026-02-06T11:14:03.519666
REF_0072,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0072,CreditBureauAgent,...,FAIL,170,2026-02-06T11:14:03.519666
REF_0073,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0073,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.519666
REF_0074,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0074,CreditBureauAgent,...,FAIL,80,2026-02-06T11:14:03.519666
REF_0075,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0075,CreditBureauAgent,...,FAIL,170,2026-02-06T11:14:03.519666
REF_0076,EligibilityAgent,...,SUCCESS,0,2026-02-06T11:14:03.519666
REF_0076,CreditBureauAgent,...,FAIL,90,2026-02-06T11:14:03.520203
