user_id,final_status,rejection_stage,primary_reason,fraud_flag,category,data_source
REF_0000,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (611)']",True,Fraud,Adversarial_Injection
REF_0001,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 165). ['CRITICAL: Hidden Debt Detected (₹35064)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (540)']",True,Fraud,Adversarial_Injection
REF_0002,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (479)']",True,Fraud,Adversarial_Injection
REF_0003,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 95). ['CRITICAL: Income >1.5x Verified (3.3x)', 'Credit Score Risk (626)']",True,Fraud,Adversarial_Injection
REF_0004,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (569)']",True,Fraud,Adversarial_Injection
REF_0005,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (546)']",True,Fraud,Adversarial_Injection
REF_0006,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0007,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹34631)', 'Credit Score Risk (533)']",True,Fraud,Adversarial_Injection
REF_0008,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (402)']",True,Fraud,Adversarial_Injection
REF_0009,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (532)']",True,Fraud,Adversarial_Injection
REF_0010,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (527)']",True,Fraud,Adversarial_Injection
REF_0011,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (342)']",True,Fraud,Adversarial_Injection
REF_0012,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (425)']",True,Fraud,Adversarial_Injection
REF_0013,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (556)']",True,Fraud,Adversarial_Injection
REF_0014,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹35595)', 'Credit Score Risk (633)']",True,Fraud,Adversarial_Injection
REF_0015,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (425)']",True,Fraud,Adversarial_Injection
REF_0016,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (530)']",True,Fraud,Adversarial_Injection
REF_0017,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (622)']",True,Fraud,Adversarial_Injection
REF_0018,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (456)']",True,Fraud,Adversarial_Injection
REF_0019,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (469)']",True,Fraud,Adversarial_Injection
REF_0020,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (469)']",True,Fraud,Adversarial_Injection
REF_0021,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 95). ['CRITICAL: Income >1.5x Verified (3.3x)', 'Credit Score Risk (626)']",True,Fraud,Adversarial_Injection
