user_id,final_status,rejection_stage,fraud_flag,risk_score,category,is_messy,fraud_type
REF_0000,REJECTED,CreditBureauAgent,True,170,Fraud,False,Income Inflation (Severe)
REF_0001,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0002,REJECTED,CreditBureauAgent,True,170,Fraud,False,Income Inflation (Severe)
REF_0003,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0004,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0005,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0006,ACCEPTED,None,False,0,Fraud,False,Income Inflation (Subtle)
REF_0007,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0008,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0009,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0010,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0011,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0012,REJECTED,CreditBureauAgent,True,170,Fraud,False,Income Inflation (Severe)
REF_0013,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0014,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0015,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0016,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0017,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0018,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0019,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0020,ACCEPTED,None,False,0,Fraud,False,Income Inflation (Subtle)
REF_0021,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0022,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0023,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0024,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0025,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0026,REJECTED,CreditBureauAgent,True,80,Fraud,False,Income Inflation (Severe)
REF_0027,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0028,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0029,ACCEPTED,None,False,0,Fraud,False,Income Inflation (Subtle)
REF_0030,REJECTED,CreditBureauAgent,True,95,Fraud,False,Income Inflation (Severe)
REF_0031,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0032,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0033,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0034,REJECTED,CreditBureauAgent,True,80,Fraud,False,Income Inflation (Severe)
REF_0035,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0036,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0037,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0038,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0039,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0040,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0041,REJECTED,CreditBureauAgent,True,80,Fraud,False,Income Inflation (Severe)
REF_0042,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0043,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0044,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0045,ACCEPTED,None,False,0,Fraud,False,Income Inflation (Subtle)
REF_0046,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0047,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0048,REJECTED,CreditBureauAgent,True,95,Fraud,False,Income Inflation (Severe)
REF_0049,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0050,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0051,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0052,ACCEPTED,None,False,15,Fraud,False,Income Inflation (Subtle)
REF_0053,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0054,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0055,ACCEPTED,None,False,0,Fraud,False,Income Inflation (Subtle)
REF_0056,ACCEPTED,None,False,15,Fraud,False,Income Inflation (Subtle)
REF_0057,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0058,REJECTED,CreditBureauAgent,True,95,Fraud,False,Income Inflation (Severe)
REF_0059,ACCEPTED,None,False,0,Fraud,False,Income Inflation (Subtle)
REF_0060,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0061,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0062,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0063,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0064,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0065,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0066,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0067,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0068,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0069,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0070,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0071,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0072,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0073,ACCEPTED,None,False,15,Fraud,False,Income Inflation (Subtle)
REF_0074,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0075,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0076,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0077,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0078,REJECTED,CreditBureauAgent,True,80,Fraud,False,Income Inflation (Severe)
REF_0079,REJECTED,CreditBureauAgent,True,80,Fraud,False,Income Inflation (Severe)
REF_0080,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0081,REJECTED,CreditBureauAgent,True,95,Fraud,False,Income Inflation (Severe)
REF_0082,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0083,REJECTED,CreditBureauAgent,True,95,Fraud,False,Income Inflation (Severe)
REF_0084,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0085,REJECTED,CreditBureauAgent,True,95,Fraud,False,Income Inflation (Severe)
REF_0086,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0087,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0088,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0089,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0090,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0091,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0092,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0093,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0094,REJECTED,CreditBureauAgent,True,170,Fraud,False,Income Inflation (Severe)
REF_0095,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0096,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0097,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0098,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0099,REJECTED,CreditBureauAgent,True,170,Fraud,False,Income Inflation (Severe)
REF_0100,REJECTED,CreditBureauAgent,True,95,Fraud,False,Income Inflation (Severe)
REF_0101,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0102,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0103,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0104,REJECTED,CreditBureauAgent,True,170,Fraud,False,Income Inflation (Severe)
REF_0105,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0106,REJECTED,CreditBureauAgent,True,80,Fraud,False,Income Inflation (Severe)
REF_0107,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0108,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0109,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0110,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0111,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0112,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0113,REJECTED,CreditBureauAgent,True,90,Fraud,False,Hidden Liability
REF_0114,REJECTED,CreditBureauAgent,True,165,Fraud,False,Hidden Liability
REF_0115,REJECTED,CreditBureauAgent,True,90,Fraud,False,Synthetic ID
REF_0116,REJECTED,CreditBureauAgent,True,80,Fraud,False,Income Inflation (Severe)
